block_number,timestamp,basefee_wei,basefee_gwei
16226099,2022-12-20 13:06:47,13877244463,13.877244463
16226100,2022-12-20 13:06:59,13399480773,13.399480773
16226101,2022-12-20 13:07:11,13196860413,13.196860413
16226102,2022-12-20 13:07:23,13248009024,13.248009024
16226103,2022-12-20 13:07:35,13281282833,13.281282833
16226104,2022-12-20 13:07:47,12968061486,12.968061486
16226105,2022-12-20 13:07:59,13018132144,13.018132144
16226106,2022-12-20 13:08:11,13630045756,13.630045756
16226107,2022-12-20 13:08:23,13999788915,13.999788915
16226108,2022-12-20 13:08:35,13779599769,13.779599769
16226109,2022-12-20 13:08:47,13411090899,13.411090899
16226110,2022-12-20 13:08:59,12999226351,12.999226351
16226111,2022-12-20 13:09:11,13462786887,13.462786887
16226112,2022-12-20 13:09:23,13239118614,13.239118614
16226113,2022-12-20 13:09:35,12745176477,12.745176477
16226114,2022-12-20 13:09:47,12673512156,12.673512156
16226115,2022-12-20 13:09:59,12396925005,12.396925005
16226116,2022-12-20 13:10:11,11169164855,11.169164855
16226117,2022-12-20 13:10:23,12563283444,12.563283444
16226118,2022-12-20 13:10:35,13146167658,13.146167658
16226119,2022-12-20 13:10:47,12719157456,12.719157456
16226120,2022-12-20 13:10:59,12677720349,12.677720349
16226121,2022-12-20 13:11:11,12109750977,12.109750977
16226122,2022-12-20 13:11:23,11991948228,11.991948228
16226123,2022-12-20 13:11:35,11988869795,11.988869795
16226124,2022-12-20 13:11:47,11825999800,11.8259998
16226125,2022-12-20 13:11:59,11934801954,11.934801954
16226126,2022-12-20 13:12:11,11997733766,11.997733766
16226127,2022-12-20 13:12:23,11270909155,11.270909155
16226128,2022-12-20 13:12:35,12074268282,12.074268282
16226129,2022-12-20 13:12:47,11979251237,11.979251237
16226130,2022-12-20 13:12:59,11416424786,11.416424786
16226131,2022-12-20 13:13:11,11173180922,11.173180922
16226132,2022-12-20 13:13:23,10845435306,10.845435306
16226133,2022-12-20 13:13:35,10759768478,10.759768478
16226134,2022-12-20 13:13:47,10800282682,10.800282682
16226135,2022-12-20 13:13:59,10474201808,10.474201808
16226136,2022-12-20 13:14:11,11473900827,11.473900827
16226137,2022-12-20 13:14:23,11678356560,11.67835656
16226138,2022-12-20 13:14:35,11982398777,11.982398777
16226139,2022-12-20 13:14:47,11608043177,11.608043177
16226140,2022-12-20 13:14:59,11742541123,11.742541123
16226141,2022-12-20 13:15:11,11782237468,11.782237468
16226142,2022-12-20 13:15:23,11631335382,11.631335382
16226143,2022-12-20 13:15:35,11686448138,11.686448138
16226144,2022-12-20 13:15:47,11936793477,11.936793477
16226145,2022-12-20 13:15:59,11490442849,11.490442849
16226146,2022-12-20 13:16:11,11333950199,11.333950199
16226147,2022-12-20 13:16:23,11467021258,11.467021258
16226148,2022-12-20 13:16:35,10733737452,10.733737452
16226149,2022-12-20 13:16:47,11168057654,11.168057654
16226150,2022-12-20 13:16:59,11340984417,11.340984417
16226151,2022-12-20 13:17:11,10830466885,10.830466885
16226152,2022-12-20 13:17:23,10993373262,10.993373262
16226153,2022-12-20 13:17:35,10481282606,10.481282606
16226154,2022-12-20 13:17:47,10497346045,10.497346045
16226155,2022-12-20 13:17:59,10468134906,10.468134906
16226156,2022-12-20 13:18:11,10700867279,10.700867279
16226157,2022-12-20 13:18:23,10890195316,10.890195316
16226158,2022-12-20 13:18:35,10617090363,10.617090363
16226159,2022-12-20 13:18:47,11942106867,11.942106867
16226160,2022-12-20 13:18:59,11749513624,11.749513624
16226161,2022-12-20 13:19:11,11548278530,11.54827853
16226162,2022-12-20 13:19:23,11976228187,11.976228187
16226163,2022-12-20 13:19:35,11076278313,11.076278313
16226164,2022-12-20 13:19:47,11273228386,11.273228386
16226165,2022-12-20 13:19:59,11362659188,11.362659188
16226166,2022-12-20 13:20:11,11373329577,11.373329577
16226167,2022-12-20 13:20:23,11169297068,11.169297068
16226168,2022-12-20 13:20:35,11021676844,11.021676844
16226169,2022-12-20 13:20:47,10752182793,10.752182793
16226170,2022-12-20 13:20:59,10882951915,10.882951915
16226171,2022-12-20 13:21:11,10905493863,10.905493863
16226172,2022-12-20 13:21:23,11805902601,11.805902601
16226173,2022-12-20 13:21:35,11403122393,11.403122393
16226174,2022-12-20 13:21:47,11518357976,11.518357976
16226175,2022-12-20 13:21:59,11183884250,11.18388425
