block_number,timestamp,basefee_wei,basefee_gwei
14768409,2022-05-13 16:21:38,85717801873,85.717801873
14768410,2022-05-13 16:21:53,85619541461,85.619541461
14768411,2022-05-13 16:22:17,88009131690,88.00913169
14768412,2022-05-13 16:22:31,90791541382,90.791541382
14768413,2022-05-13 16:22:32,81464109452,81.464109452
14768414,2022-05-13 16:23:03,89573378873,89.573378873
14768415,2022-05-13 16:23:09,85718264557,85.718264557
14768416,2022-05-13 16:23:22,77244389077,77.244389077
14768417,2022-05-13 16:23:25,72870679619,72.870679619
14768418,2022-05-13 16:23:40,76723693728,76.723693728
14768419,2022-05-13 16:24:03,80735583345,80.735583345
14768420,2022-05-13 16:24:13,74344263247,74.344263247
14768421,2022-05-13 16:24:14,70151434520,70.15143452
14768422,2022-05-13 16:24:21,69447547726,69.447547726
14768423,2022-05-13 16:24:22,61764136523,61.764136523
14768424,2022-05-13 16:24:23,62760660973,62.760660973
14768425,2022-05-13 16:24:24,55460807964,55.460807964
14768426,2022-05-13 16:24:25,49024336412,49.024336412
14768427,2022-05-13 16:24:30,53689578358,53.689578358
14768428,2022-05-13 16:24:33,54893443805,54.893443805
14768429,2022-05-13 16:24:37,49556966230,49.55696623
14768430,2022-05-13 16:24:41,49852184511,49.852184511
14768431,2022-05-13 16:24:54,56080018791,56.080018791
14768432,2022-05-13 16:24:59,50010475560,50.01047556
14768433,2022-05-13 16:25:15,55487106634,55.487106634
14768434,2022-05-13 16:25:37,61805283554,61.805283554
14768435,2022-05-13 16:25:42,58362489371,58.362489371
14768436,2022-05-13 16:25:43,52643297198,52.643297198
14768437,2022-05-13 16:25:53,52434578036,52.434578036
14768438,2022-05-13 16:26:03,47879480574,47.879480574
14768439,2022-05-13 16:26:26,44849890281,44.849890281
14768440,2022-05-13 16:26:28,50452392065,50.452392065
14768441,2022-05-13 16:26:39,56048750919,56.048750919
14768442,2022-05-13 16:26:44,50823516126,50.823516126
14768443,2022-05-13 16:27:03,57176136300,57.1761363
14768444,2022-05-13 16:27:04,54138166168,54.138166168
14768445,2022-05-13 16:27:46,60899089454,60.899089454
14768446,2022-05-13 16:28:00,68504839535,68.504839535
14768447,2022-05-13 16:28:17,73218965628,73.218965628
14768448,2022-05-13 16:28:22,68355148723,68.355148723
14768449,2022-05-13 16:28:36,63248594173,63.248594173
14768450,2022-05-13 16:28:58,71148667269,71.148667269
14768451,2022-05-13 16:29:21,80033287122,80.033287122
14768452,2022-05-13 16:29:23,74422935021,74.422935021
14768453,2022-05-13 16:29:35,73015934704,73.015934704
14768454,2022-05-13 16:29:36,63888942866,63.888942866
14768455,2022-05-13 16:30:00,57737511003,57.737511003
14768456,2022-05-13 16:30:02,64952769520,64.95276952
14768457,2022-05-13 16:31:10,73067791006,73.067791006
14768458,2022-05-13 16:31:19,82198730647,82.198730647
14768459,2022-05-13 16:31:23,75538566167,75.538566167
14768460,2022-05-13 16:31:43,77840462965,77.840462965
14768461,2022-05-13 16:31:45,70678912514,70.678912514
14768462,2022-05-13 16:31:51,79513294783,79.513294783
14768463,2022-05-13 16:31:57,75321807073,75.321807073
14768464,2022-05-13 16:32:23,73400925922,73.400925922
14768465,2022-05-13 16:32:59,82564826037,82.564826037
14768466,2022-05-13 16:33:27,92876007241,92.876007241
14768467,2022-05-13 16:33:41,100506259593,100.506259593
