mu,nu,H,avg_fee_mean,avg_fee_std,avg_fee_max,time_underfunded_mean,time_underfunded_max,max_deficit_mean,max_deficit_max,fee_cv_mean,fee_cv_max,deficit_correction_efficiency_mean,insolvency_probability_max,feasible_scenarios
0.0,0.1,72,8.844676300086188e-06,1.2000696945045897e-05,2.2511226403435816e-05,0.0,0.0,0.019240383383854958,0.04998355888255901,0.34059557174774513,0.4071091925957419,1.0,0.0,3
0.0,0.1,144,1.1758741061627168e-05,1.1433400432024157e-05,2.1900496004036133e-05,0.0,0.0,0.037739394317526376,0.09251523399871076,0.32653393198095787,0.46502844931877896,1.0,0.0,4
0.0,0.1,288,1.0926237342079474e-05,1.063018023256063e-05,2.0310946815349326e-05,1.375,5.5,0.05309072528788761,0.1205707864529586,0.31746364970646496,0.4177361183739534,1.0,0.0,4
0.0,0.1,576,1.5452353753128564e-06,2.1562100995580555e-06,3.0699061583732782e-06,0.0,0.0,0.012462570027707898,0.024759314275115685,0.3321704605431631,0.3508984485072443,1.0,0.0,2
0.0,0.2,12,2.7843145569160123e-08,,2.7843145569160123e-08,0.0,0.0,1.502795032592985e-05,1.502795032592985e-05,0.49472680590957624,0.49472680590957624,1.0,0.0,1
0.0,0.2,18,2.8022654507353754e-08,,2.8022654507353754e-08,0.0,0.0,1.645013219331304e-05,1.645013219331304e-05,0.4901715214543732,0.4901715214543732,1.0,0.0,1
0.0,0.2,36,2.738629518703058e-08,,2.738629518703058e-08,0.0,0.0,1.962975443348114e-05,1.962975443348114e-05,0.45888739911518883,0.45888739911518883,1.0,0.0,1
0.0,0.2,72,2.744386870618652e-08,,2.744386870618652e-08,0.0,0.0,2.323427270312095e-05,2.323427270312095e-05,0.32983018640805095,0.32983018640805095,1.0,0.0,1
0.0,0.2,144,8.89323903068286e-06,1.2011796430659441e-05,2.2563611313938663e-05,0.0,0.0,0.01920913395694394,0.04990886358757507,0.3422932403813152,0.4119697346575535,1.0,0.0,3
0.0,0.2,288,1.1888491980316568e-05,1.1580279775211534e-05,2.205922623022171e-05,0.0,0.0,0.03817101997253758,0.09382437571468927,0.32606186866964965,0.46741907158862117,1.0,0.0,4
0.0,0.2,576,1.0957378582649483e-05,1.0657871399606955e-05,2.029742737438921e-05,1.625,6.5,0.05297724338635135,0.12057211889384689,0.317196649491037,0.4159421778363047,1.0,0.0,4
