scenario,mu,nu,H,avg_vault_balance,vault_balance_std,avg_deficit,deficit_std,time_underfunded_pct,time_overfunded_pct,max_deficit,max_surplus,avg_fee,fee_std,fee_cv,fee_95th_percentile,fee_99th_percentile,fee_volatility,l1_tracking_error,response_lag,overpayment_ratio,vault_utilization,insolvency_probability,insolvency_duration,fee_shock_frequency,var_95_deficit,deficit_correction_efficiency,l1_sensitivity,demand_elasticity_realized
Recent_Low_Fees,0.0,0.1,18,999.9999903182274,5.792478041601618e-06,9.681772379508402e-06,5.792478041601616e-06,0.0,0.0,1.8965016693073267e-05,-1.7212960301549174e-07,2.7507787368656613e-08,1.2695936370967644e-08,0.46153971603815225,5.062500000000001e-08,5.7002389453941756e-08,1.2965740776589381e-08,1.1082097098492785,0,0.9775889665365832,0.9999999903182274,0.0,0,0.0,1.7328126563143084e-05,1.0,1.1582151269303654e-09,7.063931691342843e-05
July_2022_Spike,0.0,0.1,36,999.9977209665346,0.0013778799522006836,0.0022790334653711854,0.0013778799522006836,0.0,0.0,0.007687510647315321,-0.0004932300224709252,4.11770320542198e-06,2.289873909555386e-06,0.5561046523557593,7.110039521131106e-06,1.4006025205276268e-05,1.8081404919011434e-06,1.3212771329913924,17,0.9529266433350417,0.9999977209665346,0.0,0,0.0,0.00553110544066726,1.0,5.468552514151752e-06,3.5041560464938022e-09
May_2022_UST_Crash,0.0,0.1,36,999.9866851329131,0.012614060102896327,0.013314867086901359,0.01261406010289633,0.0,0.0,0.07481561429221983,-0.0031795836727042115,2.2095434943522873e-05,1.9128256763895397e-05,0.8657108046430521,4.997324806327877e-05,0.00011648154852625961,1.2829345382829836e-05,1.269740249375149,0,0.9728150822971073,0.9999866851329131,0.0,0,0.0,0.03799814941130529,1.0,2.6911405454727657e-05,0.00028105734465938055
May_2023_PEPE_Crisis,0.0,0.1,36,999.986575598659,0.008647338152360481,0.013424401341089265,0.008647338152360481,0.0,0.0,0.04959156832035205,-0.0037828339852694626,2.3083167508217186e-05,1.3133042851926866e-05,0.5689445717210059,3.9485851704280526e-05,7.489705755376495e-05,1.0120829881533666e-05,1.40279577622215,21,0.9704842190177823,0.999986575598659,0.0,0,0.0,0.03306020066505076,1.0,6.188997729979638e-05,1.3357327772165586e-05
Recent_Low_Fees,0.0,0.1,36,999.9999870598878,5.57867267718931e-06,1.294011212849e-05,5.57867267718931e-06,0.0,0.0,2.278212639339472e-05,-3.3961338203880587e-06,2.716778252333279e-08,9.070913969609872e-09,0.3338849595773746,4.291014094961711e-08,4.539417090793701e-08,9.027315219489752e-09,1.2229884078874196,0,0.9701355626089695,0.9999999870598878,0.0,0,0.0,2.1065954291543667e-05,1.0,7.241419483484794e-09,5.383759025797807e-07
July_2022_Spike,0.0,0.1,72,999.9965973904991,0.0011768293294721558,0.0034026095008943004,0.0011768293294721558,0.0,0.0,0.007705251745846908,-0.0015927350355013914,3.995282134782746e-06,1.5339154379771607e-06,0.38393169399050997,6.152788805925032e-06,8.524694890259824e-06,1.0803454418711952e-06,1.5171410685242945,0,0.9402996534509251,0.9999965973904991,0.0,0,0.0,0.005593307975078687,1.0,1.527741496377983e-05,1.2423011535573572e-08
May_2022_UST_Crash,0.0,0.1,72,999.980842179365,0.012039082509514397,0.01915782063494305,0.012039082509514397,0.0,0.0,0.08091988527917238,-0.009080400393372656,2.1658506650275067e-05,1.3387255351415316e-05,0.6181061126504442,4.632256912905435e-05,7.559385745690694e-05,8.022837446004655e-06,1.3967786528182784,0,0.9629652332283564,0.999980842179365,0.0,0,0.0,0.040661314776616525,1.0,5.994599395410616e-05,7.039259180956798e-08
May_2023_PEPE_Crisis,0.0,0.1,72,999.980246067188,0.007193295478962525,0.019753932812125185,0.007193295478962524,0.0,0.0,0.04998355888255901,-0.010219272037488736,2.2511226403435816e-05,9.164527205442702e-06,0.4071091925957419,3.388709256898418e-05,4.990008739379867e-05,6.1282935876070854e-06,1.59701247647952,0,0.9599500940838237,0.9999802460671879,0.0,0,0.0,0.03745710542279994,1.0,0.00014062434899828334,0.00012723186399045291
Recent_Low_Fees,0.0,0.1,72,999.9999788019013,5.615338577391382e-06,2.1198098684749313e-05,5.615338577391382e-06,0.0,0.0,3.233952315895294e-05,-6.704870088469761e-06,2.7520362040007153e-08,6.350208743861644e-09,0.23074582865698354,3.7381893262830895e-08,3.994070147604766e-08,5.682203518509663e-09,1.476499404318691,0,0.9563675995905736,0.9999999788019013,0.0,0,0.0,2.9833526201628044e-05,1.0,4.946532715765833e-08,3.660996037372134e-05
July_2022_Spike,0.0,0.1,144,999.9940825925,0.001051046351813942,0.005917407499910041,0.001051046351813942,0.0,0.0,0.008527034000508138,-0.0030432100103325865,3.882169518134875e-06,1.1427658460167044e-06,0.29436268578135855,5.166726900765658e-06,5.5281082516308465e-06,6.421084305070881e-07,1.758005151856894,0,0.9108422671755583,0.9999940825925,0.0,0,0.0,0.007639963376612968,1.0,3.584223603732075e-05,6.1952441872444e-05
May_2022_UST_Crash,0.0,0.1,144,999.9670676811968,0.013463753537361607,0.03293231880316739,0.013463753537361607,0.0,0.0,0.09251523399871076,-0.010562254487581413,2.1225838881443383e-05,9.870618940527862e-06,0.46502844931877896,4.0927921678811014e-05,5.299056587042054e-05,4.791896243004411e-06,1.5645729632160386,0,0.934406094466986,0.9999670676811968,0.0,0,0.0,0.06385885984051921,1.0,0.0001273292960437215,2.906230245400589e-06
May_2023_PEPE_Crisis,0.0,0.1,144,999.9661362670943,0.0061488347600857285,0.03386373290576387,0.0061488347600857285,0.0,0.0,0.04986138749541169,-0.013284768245853229,2.1900496004036133e-05,7.199614136586785e-06,0.3287420584109117,2.958745150482321e-05,3.104879746604735e-05,3.7533457349175207e-06,1.7841420125903658,0,0.9291709361560897,0.9999661362670943,0.0,0,0.0,0.04265556093656642,1.0,0.00025031889250130926,8.943824342726984e-08
Recent_Low_Fees,0.0,0.1,144,999.9999617635787,8.3220966012096e-06,3.823642137831484e-05,8.3220966012096e-06,0.0,0.0,5.392177547491883e-05,-9.313304758507002e-06,2.6459842894281004e-08,5.768312811117306e-09,0.21800253441278225,3.45863242954023e-08,3.665146808471162e-08,3.6787865720148173e-09,1.7194187800058947,0,0.9258256436018543,0.9999999617635786,0.0,0,0.0,4.9804306985379296e-05,1.0,1.5463931373411478e-07,1.5713397656520002e-07
