mu,nu,H,avg_fee_mean,avg_fee_std,avg_fee_max,time_underfunded_mean,time_underfunded_max,max_deficit_mean,max_deficit_max,fee_cv_mean,fee_cv_max,deficit_correction_efficiency_mean,insolvency_probability_max,feasible_scenarios,risk_score
0.0,0.1,36,2.716778252333279e-08,,2.716778252333279e-08,0.0,0.0,2.278212639339472e-05,2.278212639339472e-05,0.3338849595773746,0.3338849595773746,1.0,0.0,1,0.13355398724826878
0.0,0.2,72,2.744386870618652e-08,,2.744386870618652e-08,0.0,0.0,2.323427270312095e-05,2.323427270312095e-05,0.32983018640805095,0.32983018640805095,1.0,0.0,1,0.1319320780483613
0.0,0.7,288,2.7801953057937095e-08,,2.7801953057937095e-08,0.0,0.0,2.459560039369535e-05,2.459560039369535e-05,0.30172362499014693,0.30172362499014693,1.0,0.0,1,0.12068945368539884
